,description,accession,organism,taxon_id,valid,ffn
53,spike protein [Longquan Rl rat coronavirus],AID16661,Longquan Rl rat coronavirus,1508223,True,./genbank_files/1508223.fna
54,spike protein [Longquan Rl rat coronavirus],AID16655,Longquan Rl rat coronavirus,1508223,True,./genbank_files/1508223.fna
55,spike protein [Longquan Rl rat coronavirus],AID16649,Longquan Rl rat coronavirus,1508223,True,./genbank_files/1508223.fna
56,spike glycoprotein [SARS coronavirus wtic-MB],AGT21318,SARS coronavirus wtic-MB,698419,True,./genbank_files/698419.fna
57,spike glycoprotein [SARS coronavirus wtic-MB],AGT21303,SARS coronavirus wtic-MB,698419,True,./genbank_files/698419.fna
58,spike glycoprotein [SARS coronavirus wtic-MB],AGT21288,SARS coronavirus wtic-MB,698419,True,./genbank_files/698419.fna
59,spike glycoprotein [SARS coronavirus wtic-MB],AGT21258,SARS coronavirus wtic-MB,698419,True,./genbank_files/698419.fna
60,spike glycoprotein [SARS coronavirus wtic-MB],AGT21243,SARS coronavirus wtic-MB,698419,True,./genbank_files/698419.fna
61,spike glycoprotein [SARS coronavirus wtic-MB],AGT21198,SARS coronavirus wtic-MB,698419,True,./genbank_files/698419.fna
62,spike glycoprotein [SARS coronavirus wtic-MB],AGT21168,SARS coronavirus wtic-MB,698419,True,./genbank_files/698419.fna
63,spike glycoprotein [SARS coronavirus wtic-MB],AGT21108,SARS coronavirus wtic-MB,698419,True,./genbank_files/698419.fna
64,spike glycoprotein [SARS coronavirus wtic-MB],AGT21093,SARS coronavirus wtic-MB,698419,True,./genbank_files/698419.fna
65,spike glycoprotein [SARS coronavirus wtic-MB],AGT21033,SARS coronavirus wtic-MB,698419,True,./genbank_files/698419.fna
66,spike glycoprotein [SARS coronavirus wtic-MB],AGT20973,SARS coronavirus wtic-MB,698419,True,./genbank_files/698419.fna
67,spike glycoprotein [SARS coronavirus wtic-MB],AGT20958,SARS coronavirus wtic-MB,698419,True,./genbank_files/698419.fna
68,spike glycoprotein [SARS coronavirus wtic-MB],AGT20943,SARS coronavirus wtic-MB,698419,True,./genbank_files/698419.fna
69,spike glycoprotein [SARS coronavirus wtic-MB],AGT20928,SARS coronavirus wtic-MB,698419,True,./genbank_files/698419.fna
70,spike glycoprotein [SARS coronavirus wtic-MB],AGT20913,SARS coronavirus wtic-MB,698419,True,./genbank_files/698419.fna
71,spike glycoprotein [SARS coronavirus wtic-MB],AGT20883,SARS coronavirus wtic-MB,698419,True,./genbank_files/698419.fna
72,spike glycoprotein [SARS coronavirus wtic-MB],AGT20853,SARS coronavirus wtic-MB,698419,True,./genbank_files/698419.fna
73,spike glycoprotein [SARS coronavirus wtic-MB],AGT20793,SARS coronavirus wtic-MB,698419,True,./genbank_files/698419.fna
74,spike glycoprotein precursor [SARS coronavirus wtic-MB],AEA10998,SARS coronavirus wtic-MB,698419,True,./genbank_files/698419.fna
75,spike glycoprotein precursor [SARS coronavirus wtic-MB],ACZ72093,SARS coronavirus wtic-MB,698419,True,./genbank_files/698419.fna
76,spike glycoprotein precursor [SARS coronavirus wtic-MB],ACZ72065,SARS coronavirus wtic-MB,698419,True,./genbank_files/698419.fna
77,spike glycoprotein precursor [SARS coronavirus wtic-MB],ACZ72050,SARS coronavirus wtic-MB,698419,True,./genbank_files/698419.fna
78,spike glycoprotein precursor [SARS coronavirus wtic-MB],ACZ71946,SARS coronavirus wtic-MB,698419,True,./genbank_files/698419.fna
79,spike glycoprotein precursor [SARS coronavirus wtic-MB],ACZ71931,SARS coronavirus wtic-MB,698419,True,./genbank_files/698419.fna
80,spike glycoprotein precursor [SARS coronavirus wtic-MB],ACZ71916,SARS coronavirus wtic-MB,698419,True,./genbank_files/698419.fna
81,spike glycoprotein precursor [SARS coronavirus wtic-MB],ACZ71901,SARS coronavirus wtic-MB,698419,True,./genbank_files/698419.fna
82,spike glycoprotein precursor [SARS coronavirus wtic-MB],ACZ71886,SARS coronavirus wtic-MB,698419,True,./genbank_files/698419.fna
83,spike glycoprotein precursor [SARS coronavirus wtic-MB],ACZ71871,SARS coronavirus wtic-MB,698419,True,./genbank_files/698419.fna
84,spike glycoprotein precursor [SARS coronavirus wtic-MB],ACZ71856,SARS coronavirus wtic-MB,698419,True,./genbank_files/698419.fna
85,spike glycoprotein precursor [SARS coronavirus wtic-MB],ACZ71841,SARS coronavirus wtic-MB,698419,True,./genbank_files/698419.fna
86,spike glycoprotein precursor [SARS coronavirus wtic-MB],ACZ71767,SARS coronavirus wtic-MB,698419,True,./genbank_files/698419.fna
87,spike glycoprotein [SARS coronavirus CS21],ABF68958,SARS coronavirus CS21,385683,True,./genbank_files/385683.fna
88,spike glycoprotein [SARS coronavirus B039],AAV49730,SARS coronavirus B039,299335,True,./genbank_files/299335.fna
89,spike glycoprotein [SARS coronavirus B039],AAV97993,SARS coronavirus B039,299335,True,./genbank_files/299335.fna
90,Spike glycoprotein [Bat coronavirus HKU4-4],ABN10866,Bat coronavirus HKU4-4,424362,True,./genbank_files/424362.fna
91,spike protein [Bat SARS-like coronavirus RsSHC014],AGZ48806,Bat SARS-like coronavirus RsSHC014,1415851,True,./genbank_files/1415851.fna
92,putative spike glycoprotein [SARS coronavirus TW11],AAR87512,SARS coronavirus TW11,258964,False,./genbank_files/258964.fna
93,putative spike glycoprotein [SARS coronavirus TW7],AAR87578,SARS coronavirus TW7,258970,False,./genbank_files/258970.fna
94,spike glycoprotein [Bat SARS coronavirus HKU3-11],ADE34801,Bat SARS coronavirus HKU3-11,741998,True,./genbank_files/741998.fna
95,spike glycoprotein [Bat SARS coronavirus HKU3-12],ADE34812,Bat SARS coronavirus HKU3-12,741999,True,./genbank_files/741999.fna
96,"Spike protein, partial [Canine respiratory coronavirus]",VVV07109,Canine respiratory coronavirus,215681,True,./genbank_files/215681.fna
97,"Spike protein, partial [Canine respiratory coronavirus]",VVV07106,Canine respiratory coronavirus,215681,True,./genbank_files/215681.fna
98,"Spike protein, partial [Canine respiratory coronavirus]",VVV07095,Canine respiratory coronavirus,215681,True,./genbank_files/215681.fna
99,"Spike protein, partial [Canine respiratory coronavirus]",VVV07094,Canine respiratory coronavirus,215681,True,./genbank_files/215681.fna
100,"Spike protein, partial [Canine respiratory coronavirus]",VVV07089,Canine respiratory coronavirus,215681,True,./genbank_files/215681.fna
101,"Spike protein, partial [Canine respiratory coronavirus]",VVV07088,Canine respiratory coronavirus,215681,True,./genbank_files/215681.fna
102,"Spike protein, partial [Canine respiratory coronavirus]",VVV07087,Canine respiratory coronavirus,215681,True,./genbank_files/215681.fna
103,"Spike protein, partial [Canine respiratory coronavirus]",VVV07084,Canine respiratory coronavirus,215681,True,./genbank_files/215681.fna
104,Spike protein [Canine respiratory coronavirus],VVU96382,Canine respiratory coronavirus,215681,True,./genbank_files/215681.fna
105,Spike protein [Canine respiratory coronavirus],VVU96367,Canine respiratory coronavirus,215681,True,./genbank_files/215681.fna
106,Spike [Canine respiratory coronavirus],VVU96373,Canine respiratory coronavirus,215681,True,./genbank_files/215681.fna
107,"spike protein, partial [Canine respiratory coronavirus]",QAY30020,Canine respiratory coronavirus,215681,True,./genbank_files/215681.fna
108,"spike protein, partial [Canine respiratory coronavirus]",AQT26509,Canine respiratory coronavirus,215681,True,./genbank_files/215681.fna
109,"spike protein, partial [Canine respiratory coronavirus]",AQT26507,Canine respiratory coronavirus,215681,True,./genbank_files/215681.fna
110,spike protein [Canine respiratory coronavirus],AQT26498,Canine respiratory coronavirus,215681,True,./genbank_files/215681.fna
111,"spike protein, partial [Canine respiratory coronavirus]",ABJ16386,Canine respiratory coronavirus,215681,True,./genbank_files/215681.fna
112,"spike glycoprotein, partial [Canine respiratory coronavirus]",ABG49511,Canine respiratory coronavirus,215681,True,./genbank_files/215681.fna
113,S protein [Canine respiratory coronavirus],AFW97360,Canine respiratory coronavirus,215681,True,./genbank_files/215681.fna
114,spike protein [Canine respiratory coronavirus],ACX46860,Canine respiratory coronavirus,215681,True,./genbank_files/215681.fna
115,spike protein [Canine respiratory coronavirus],ACX46850,Canine respiratory coronavirus,215681,True,./genbank_files/215681.fna
116,spike protein [Canine respiratory coronavirus],ACX46840,Canine respiratory coronavirus,215681,True,./genbank_files/215681.fna
117,spike glycoprotein [Canine respiratory coronavirus],AAO06124,Canine respiratory coronavirus,215681,True,./genbank_files/215681.fna
118,spike protein [Canine respiratory coronavirus],ACL93320,Canine respiratory coronavirus,215681,True,./genbank_files/215681.fna
119,spike protein [Canine respiratory coronavirus],ACL93319,Canine respiratory coronavirus,215681,True,./genbank_files/215681.fna
120,spike protein [Canine respiratory coronavirus],ACL93318,Canine respiratory coronavirus,215681,True,./genbank_files/215681.fna
121,spike protein [Canine respiratory coronavirus],ACL12996,Canine respiratory coronavirus,215681,True,./genbank_files/215681.fna
122,spike protein [Canine respiratory coronavirus],BAG48179,Canine respiratory coronavirus,215681,True,./genbank_files/215681.fna
123,spike protein [Canine respiratory coronavirus],ABG78748,Canine respiratory coronavirus,215681,True,./genbank_files/215681.fna
124,spike protein [Canine respiratory coronavirus],BAE96086,Canine respiratory coronavirus,215681,True,./genbank_files/215681.fna
125,"spike glycoprotein, partial [SARS coronavirus CUHK-L2]",AAS01063,SARS coronavirus CUHK-L2,260550,True,./genbank_files/260550.fna
126,"spike glycoprotein, partial [SARS coronavirus CUHK-L2]",AAS01062,SARS coronavirus CUHK-L2,260550,True,./genbank_files/260550.fna
127,putative spike glycoprotein [SARS coronavirus TW8],AAR87589,SARS coronavirus TW8,258971,False,./genbank_files/258971.fna
128,putative spike glycoprotein [SARS coronavirus TW2],AAR87523,SARS coronavirus TW2,258965,False,./genbank_files/258965.fna
129,spike glycoprotein [SARS coronavirus GZ02],AAS00003,SARS coronavirus GZ02,256753,True,./genbank_files/256753.fna
130,Spike glycoprotein [Bat coronavirus HKU5-1],ABN10875,Bat coronavirus HKU5-1,424363,True,./genbank_files/424363.fna
131,S protein [Yak coronavirus],AZU96230,Yak coronavirus,2501420,True,./genbank_files/2501420.fna
132,spike structural protein [Longquan Aa mouse coronavirus],AID16631,Longquan Aa mouse coronavirus,1508222,True,./genbank_files/1508222.fna
133,spike glycoprotein [Bat coronavirus HKU9-5-1],ADM33558,Bat coronavirus HKU9-5-1,875614,True,./genbank_files/875614.fna
134,spike glycoprotein S [SARS coronavirus GD01],AAP51227,SARS coronavirus GD01,233044,True,./genbank_files/233044.fna
135,spike glycoprotein [SARS coronavirus ES260],ABF68957,SARS coronavirus ES260,385686,True,./genbank_files/385686.fna
136,spike protein [Sable antelope coronavirus US/OH1/2003],ABP38306,Sable antelope coronavirus US/OH1/2003,422138,True,./genbank_files/422138.fna
137,spike glycoprotein [Bat coronavirus HKU9-1],QJX58366,Bat coronavirus HKU9-1,424367,True,./genbank_files/424367.fna
138,Spike glycoprotein [Bat coronavirus HKU9-1],ABN10911,Bat coronavirus HKU9-1,424367,True,./genbank_files/424367.fna
139,spike protein [Pangolin coronavirus],QIQ54048,Pangolin coronavirus,2708335,True,./genbank_files/2708335.fna
140,spike protein [Pangolin coronavirus],QIA48641,Pangolin coronavirus,2708335,True,./genbank_files/2708335.fna
141,spike protein [Pangolin coronavirus],QIA48632,Pangolin coronavirus,2708335,True,./genbank_files/2708335.fna
142,spike protein [Pangolin coronavirus],QIA48623,Pangolin coronavirus,2708335,True,./genbank_files/2708335.fna
143,spike protein [Pangolin coronavirus],QIA48614,Pangolin coronavirus,2708335,True,./genbank_files/2708335.fna
144,spike glycoprotein [Hypsugo bat coronavirus HKU25],ASL68953,Hypsugo bat coronavirus HKU25,2020423,True,./genbank_files/2020423.fna
145,spike glycoprotein [Hypsugo bat coronavirus HKU25],ASL68941,Hypsugo bat coronavirus HKU25,2020423,True,./genbank_files/2020423.fna
146,spike glycoprotein [Coronavirus BtRs-BetaCoV/YN2018B],QDF43825,Coronavirus BtRs-BetaCoV/YN2018B,2591235,True,./genbank_files/2591235.fna
147,spike glycoprotein [Coronavirus BtRs-BetaCoV/YN2018A],QDF43820,Coronavirus BtRs-BetaCoV/YN2018A,2591234,True,./genbank_files/2591234.fna
148,spike glycoprotein S [SARS coronavirus NS-1],AAR91586,SARS coronavirus NS-1,260743,True,./genbank_files/260743.fna
149,Spike glycoprotein [Bat coronavirus HKU5-5],ABN10902,Bat coronavirus HKU5-5,424366,True,./genbank_files/424366.fna
150,spike protein [Giraffe coronavirus US/OH3/2003],ABP38328,Giraffe coronavirus US/OH3/2003,422139,True,./genbank_files/422139.fna
151,spike glycoprotein [SARS coronavirus PC4-115],AAV49719,SARS coronavirus PC4-115,296837,True,./genbank_files/296837.fna
152,spike glycoprotein [SARS coronavirus WF188],ABF68955,SARS coronavirus WF188,385687,True,./genbank_files/385687.fna
153,spike glycoprotein [Betacoronavirus BtCoV/KW2E-F93/Nyc_spec/GHA/2010],AGC51116,Betacoronavirus BtCoV/KW2E-F93/Nyc_spec/GHA/2010,1269327,True,./genbank_files/1269327.fna
154,putative spike glycoprotein [Zaria bat coronavirus],ADY17911,Zaria bat coronavirus,989337,False,./genbank_files/989337.fna
155,spike glycoprotein [Bat SARS-like coronavirus],AID16716,Bat SARS-like coronavirus,1508227,True,./genbank_files/1508227.fna
156,spike protein [Bat SARS-like coronavirus],AVP78042,Bat SARS-like coronavirus,1508227,True,./genbank_files/1508227.fna
157,spike protein [Bat SARS-like coronavirus],AVP78031,Bat SARS-like coronavirus,1508227,True,./genbank_files/1508227.fna
158,spike protein [Bat SARS-like coronavirus],ATO98231,Bat SARS-like coronavirus,1508227,True,./genbank_files/1508227.fna
159,spike protein [Bat SARS-like coronavirus],ATO98218,Bat SARS-like coronavirus,1508227,True,./genbank_files/1508227.fna
160,spike protein [Bat SARS-like coronavirus],ATO98205,Bat SARS-like coronavirus,1508227,True,./genbank_files/1508227.fna
161,spike protein [Bat SARS-like coronavirus],ATO98193,Bat SARS-like coronavirus,1508227,True,./genbank_files/1508227.fna
162,spike protein [Bat SARS-like coronavirus],ATO98181,Bat SARS-like coronavirus,1508227,True,./genbank_files/1508227.fna
163,spike protein [Bat SARS-like coronavirus],ATO98169,Bat SARS-like coronavirus,1508227,True,./genbank_files/1508227.fna
164,spike protein [Bat SARS-like coronavirus],ATO98157,Bat SARS-like coronavirus,1508227,True,./genbank_files/1508227.fna
165,spike protein [Bat SARS-like coronavirus],ATO98145,Bat SARS-like coronavirus,1508227,True,./genbank_files/1508227.fna
166,spike protein [Bat SARS-like coronavirus],ATO98132,Bat SARS-like coronavirus,1508227,True,./genbank_files/1508227.fna
167,spike protein [Bat SARS-like coronavirus],ATO98120,Bat SARS-like coronavirus,1508227,True,./genbank_files/1508227.fna
168,spike protein [Bat SARS-like coronavirus],ATO98108,Bat SARS-like coronavirus,1508227,True,./genbank_files/1508227.fna
169,spike glycoprotein [SARS coronavirus Frankfurt1-v01],BAF42873,SARS coronavirus Frankfurt1-v01,391355,True,./genbank_files/391355.fna
170,spike glycoprotein [Bat coronavirus HKU9-5-2],ADM33566,Bat coronavirus HKU9-5-2,875615,True,./genbank_files/875615.fna
171,spike protein [Water deer coronavirus],AVN88332,Water deer coronavirus,2126133,True,./genbank_files/2126133.fna
172,spike protein [SARS coronavirus Rs_672/2006],ACU31032,SARS coronavirus Rs_672/2006,722424,True,./genbank_files/722424.fna
173,spike glycoprotein [SARS coronavirus ES191],ABF68956,SARS coronavirus ES191,385685,True,./genbank_files/385685.fna
174,Spike glycoprotein [Bat coronavirus HKU9-4],ABN10935,Bat coronavirus HKU9-4,424370,True,./genbank_files/424370.fna
175,Spike glycoprotein [Bat coronavirus HKU5-2],ABN10884,Bat coronavirus HKU5-2,424364,True,./genbank_files/424364.fna
176,spike glycoprotein [Betacoronavirus sp.],AYR18688,Betacoronavirus sp.,1928434,True,./genbank_files/1928434.fna
177,spike glycoprotein [Betacoronavirus sp.],AYR18679,Betacoronavirus sp.,1928434,True,./genbank_files/1928434.fna
178,spike glycoprotein [Betacoronavirus sp.],AYR18670,Betacoronavirus sp.,1928434,True,./genbank_files/1928434.fna
179,spike glycoprotein [Betacoronavirus sp.],AYR18661,Betacoronavirus sp.,1928434,True,./genbank_files/1928434.fna
180,spike glycoprotein [Betacoronavirus sp.],AYR18652,Betacoronavirus sp.,1928434,True,./genbank_files/1928434.fna
181,spike glycoprotein [Betacoronavirus sp.],AYR18643,Betacoronavirus sp.,1928434,True,./genbank_files/1928434.fna
182,spike glycoprotein [Betacoronavirus sp.],AYR18634,Betacoronavirus sp.,1928434,True,./genbank_files/1928434.fna
183,spike glycoprotein [Betacoronavirus sp.],AYR18625,Betacoronavirus sp.,1928434,True,./genbank_files/1928434.fna
184,spike glycoprotein [Betacoronavirus sp.],AYR18616,Betacoronavirus sp.,1928434,True,./genbank_files/1928434.fna
185,spike glycoprotein [Betacoronavirus sp.],AYR18607,Betacoronavirus sp.,1928434,True,./genbank_files/1928434.fna
186,spike glycoprotein [Betacoronavirus sp.],AYR18599,Betacoronavirus sp.,1928434,True,./genbank_files/1928434.fna
187,spike glycoprotein [Coronavirus BtRs-BetaCoV/YN2018C],QDF43830,Coronavirus BtRs-BetaCoV/YN2018C,2591236,True,./genbank_files/2591236.fna
188,spike protein [Murine coronavirus repJHM/RA59],ACN89777,Murine coronavirus repJHM/RA59,429330,True,./genbank_files/429330.fna
189,putative spike glycoprotein [SARS coronavirus TW10],AAR87501,SARS coronavirus TW10,258963,False,./genbank_files/258963.fna
190,spike protein [Murine coronavirus repA59/RJHM],ACN89722,Murine coronavirus repA59/RJHM,429331,True,./genbank_files/429331.fna
191,spike glycoprotein [Coronavirus BtRs-BetaCoV/YN2018D],QDF43835,Coronavirus BtRs-BetaCoV/YN2018D,2591237,True,./genbank_files/2591237.fna
192,Spike glycoprotein [Bat coronavirus HKU4-1],ABN10839,Bat coronavirus HKU4-1,424359,True,./genbank_files/424359.fna
193,Spike glycoprotein [Bat coronavirus HKU5-3],ABN10893,Bat coronavirus HKU5-3,424365,True,./genbank_files/424365.fna
194,spike glycoprotein [SARS coronavirus CS24],ABF68959,SARS coronavirus CS24,385684,True,./genbank_files/385684.fna
195,spike protein [Rhinolophus affinis coronavirus],AHX37569,Rhinolophus affinis coronavirus,1487703,True,./genbank_files/1487703.fna
196,spike protein [Rhinolophus affinis coronavirus],AHX37558,Rhinolophus affinis coronavirus,1487703,True,./genbank_files/1487703.fna
197,spike glycoprotein [BtRs-BetaCoV/HuB2013],AIA62310,BtRs-BetaCoV/HuB2013,1503302,True,./genbank_files/1503302.fna
198,RecName: Full=Spike glycoprotein; Short=S glycoprotein; AltName: Full=E2; AltName: Full=Peplomer protein; Contains: RecName: Full=Spike protein S1; Contains: RecName: Full=Spike protein S2; Contains: RecName: Full=Spike protein S2'; Flags: Precursor,Q0Q4F2,Bat coronavirus (BtCoV/133/2005),389230,True,./genbank_files/389230.fna
199,spike protein [Bat coronavirus (BtCoV/133/2005)],ABG47052,Bat coronavirus (BtCoV/133/2005),389230,True,./genbank_files/389230.fna
200,putative E2 glycoprotein precursor [SARS coronavirus CUHK-AG02],AAP94748,SARS coronavirus CUHK-AG02,239242,False,./genbank_files/239242.fna
201,spike glycoprotein [Bat SARS coronavirus HKU3-3],AAZ41340,Bat SARS coronavirus HKU3-3,338606,True,./genbank_files/338606.fna
202,putative E2 glycoprotein precursor [SARS coronavirus CUHK-W1],AAP13567,SARS coronavirus CUHK-W1,228415,False,./genbank_files/228415.fna
203,"spike glycoprotein, partial [SARS coronavirus TW-YM2]",AAS44787,SARS coronavirus TW-YM2,264384,True,./genbank_files/264384.fna
204,S protein [SARS Coronavirus CDC#200301157],AAU81608,SARS Coronavirus CDC#200301157,292360,True,./genbank_files/292360.fna
205,spike glycoprotein [Bat coronavirus RaTG13],QHR63300,Bat coronavirus RaTG13,2709072,True,./genbank_files/2709072.fna
206,spike glycoprotein [Bat SARS coronavirus HKU3-6],ADE34744,Bat SARS coronavirus HKU3-6,742003,True,./genbank_files/742003.fna
207,spike glycoprotein [SARS coronavirus C029],AAV98002,SARS coronavirus C029,305418,True,./genbank_files/305418.fna
208,spike protein [Murine coronavirus MHV-3],ACN89743,Murine coronavirus MHV-3,502104,True,./genbank_files/502104.fna
209,spike glycoprotein [SARS coronavirus PC4-205],AAU93319,SARS coronavirus PC4-205,293320,True,./genbank_files/293320.fna
210,spike protein [Bovine coronavirus E-DB2-TC],ACT10983,Bovine coronavirus E-DB2-TC,422216,True,./genbank_files/422216.fna
211,spike protein [Bovine respiratory coronavirus bovine/US/OH-440-TC/1996],ACT11019,Bovine respiratory coronavirus bovine/US/OH-440-TC/1996,502105,True,./genbank_files/502105.fna
